# age_bp	solar_modulation_potential_mev
1305	318.9696812302674
1306	329.38807414196935
1307	338.6558203483041
1308	345.77294021794467
1309	351.98538547713605
1310	356.76571952337304
1311	361.04314084937363
1312	364.92540612109786
1313	368.6938025156591
1314	372.5448008962215
1315	376.41484876260307
1316	380.80356451777163
1317	385.2846725735818
1318	389.9460433852734
1319	394.6308381708932
1320	399.12799674101234
1321	403.6091047968225
1322	406.82264996435487
1323	409.9797942764029
1324	410.0
1325	409.9028821672267
1326	406.6438944902739
1327	403.1832357284716
1328	396.86862555380134
1329	390.39776963030846
1330	382.55583053264064
1331	374.6010489866583
1332	365.9443629697523
1333	357.3766371320906
1334	349.2291679397085
1335	341.5112740604947
1336	335.4006721662081
1337	330.17086261330064
1338	327.6247784906812
1339	326.0885222527753
1340	327.1069559018231
1341	329.62218148487665
1342	335.32540991954414
1343	342.07918321621406
1344	350.7358692331201
1345	359.91141664120664
1346	369.8920664018748
1347	379.91653511228884
1348	389.9995416815203
1349	400.64986251145814
1350	411.9544760158884
1351	422.1884509624205
1352	431.3543538038505
1353	438.66149302373003
1354	444.3647214583975
1355	448.20054995417075
1356	450.6447907118854
1357	451.6
1358	451.6
1359	450.67978409206637
1360	449.25397698339964
1361	446.43972093496984
1362	442.9768701940213
1363	438.6367858234031
1364	433.9519910377834
1365	428.268795192993
1366	422.2600366636119
1367	415.20494958753517
1368	407.87222731439124
1369	400.7920256645287
1370	393.76483348609906
1371	387.61624401670286
1372	381.607485487321
1373	376.9719319686326
1374	372.4908239128224
1375	370.8667277726857
1376	369.44092066401885
1377	371.9719319686321
1378	374.665688970363
1379	383.42421835217385
1380	392.57443601364673
1381	410.29608392320506
1382	428.4983603218233
1383	452.2278643446363
1384	476.30056013850526
1385	502.9835217435568
1386	529.9303391384036
1387	558.3446379468363
1388	586.3555759242273
1389	612.6311640696597
1390	637.3270394133815
1391	656.5754353803843
1392	673.5378551787347
1393	684.0277217639267
1394	691.9769989270934
1395	693.9184488836662
1396	693.5676186583562
1397	688.765084555255
1398	681.3041128084611
1399	669.5532314923613
1400	655.846748071321
1401	639.4976958054449
1402	622.1444030041371
1403	603.6495376283647
1404	586.0418024830118
1405	569.2840239104886
1406	553.9399274510805
1407	539.7366882951006
1408	527.7871353394986
